,text
111, Software Engineer Automation - Industrial Automation Job In Bangalore Automation Engineer
112, Looking For Assistant Manager - Healthcare (US Visa is Must) Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM
114, QA for Voice Process (LE-0097-N1C) Voice process| qaqc| Writing| Process operations| Verbal
115," Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon Patient Care| Nursing| People Orientation| Report Generation| Service Quality| Disaster Management| Customer Care| Medical| Process Orientation"
117, Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python
118, Executive Medical Coder molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech
119, Account Assistant accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation
120, Informatica Faculty Job Requirement in Hyderabad Informatica Power Center| Informatica
121, SEO Expert/ Digital Marketing Gurgaon digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing
122, Head Engineering Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who
123, Business Development Executive Forecasting
124, PPC Executive Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives
125, Opening For the post of Mr/territory Business Manager in An Pharma marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive
126, Deputy Manager - Program Management Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle
127, Public Relations Manager - Bangalore PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication
128, Female Fresher's Counsellor- Gurgaon counselling| couselling| fresher| student counsellor| student counseling
129, BE Chemical - Fresher Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management
130, Senior .Net Developer For Leading IT Company in Gurgaon asp dot net| .net developer| Dot Net Developer| asp.net| asp . net
131, Hiring a Valuation Associate (female Only) Secondary Research| Valuation| Finance| Real Estate| Primary| Report Preparation| Business Development| Due Diligence| Financial Modelling
132, Merchandising & Marketing- Professor Teaching| Educator| Counselor| Mentor| Trainer| Advisor
133, Medical Transcriber X - Ray| Medical Transcription| Ultrasound| CT Scan
134, PHP Developer cms| javascript| wordpress| drupal| joomla| ajax| cakephp| zend| knowledge| xhtml
135, Business Development Manager Sales| Management| Sales management| Educational sales
136, Looking for a Job Change With a good package Outbound| Antivirus| Technical support| Technical Support Associate| process| Sales| Inbound calls| US shift| Comp
137, Huge Requirement for Customer Care Executive with Fixed Salary Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software
138,Assistant Manager – BI&I (data Automation)C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration
139, Field Sales Executive Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales
140, Sr. Manager Sales Capability Building Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI
141, Service Ops Expert - Servc Del | Microland Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP
142, Regional Trainer - Skin for Wellness & Beauty Industry (only Females) planning| training| training manager| trainer| faculty
143, Sales Manager Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail
144, Field Support Team-Supervisor customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic
145, Sr. C# Developer Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications
146, Sr Structural Engineer Senior Design Engineer| Engineering Design| SACS
147, IT Security Head  C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems
148, Technical Support Executive Technical Support Executive| Electrical engineering
149, Analyst - Business Intelligence Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction
150,Nokia WING Circuit Core - SMSC EngineerDetail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching
151, Assistant Restaurant Manager / Restaurant Manager assistant restaurant manager| restaurant| restaurant manager
152, Digital / Web Artist layout| visualization| digital media| graphic design| html| illustration| tools| part time
153, Business Development Manager selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining
154, Web/ GUI Designer photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static
155," Web Designer - Html, CSS, Bootstrap, Photoshop Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS"
156, Python Developer Python
157, Web Designer server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3
158, AVP- FX MO Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President
159, Cluster Sales Head - Tied Channel &amp; Affinity Alliances - Health Insura Sales Head| Tied Channel| Sales| Business Growth| Profitability| Business Operations| New Business| Alliances
160, Head - Project Management Project Management
161, Walk- In For Development QA/ Regulatory Affairs QA| Life Sciences| development quality assurance| Life Cycle| Regulatory Affairs| DQA| QMS| Dmf
162, Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp) accounting| finance| financial reporting| statutory compliance| gst| vat
163, Team Leader- Head Digital Prtnrshp & BD Data analysis| Consumer research| Management| Head Business Development
164, DWH Tester - Manual Testing Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing
165, Quality Assurance Engineer assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL
166, Technical / Functional Skills Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas
167, Software Development / Software Engineer ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming
169, Inbound Phone Banking Voice Process - Leading Bank - Noida customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking
170,Java Enterprise EditionOracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology
171, Associate Clinical Data Processor MS Office| Data entry
173, CRM Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing
174, Magento Developer Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3
175, Merchandiser Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking
177, Hiring ll Azure Devops and Management Lead ll Hyderabad C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration
179, computer operator Computer Operator| MS Office| Software services| Comm| Typing speed| WHO| Software| level
180, Operation Executive operations management| mobilization| Resource Mobilization| general management| interview| Recruitment
181, Customer Support Executive Customer Support Executive| Customer service| Business Executive| process
182, Corporate-Day Care Manager. Staff Training| Day Care| Recruitment
183, Hiring going on for .US Inbound Tech Support/ Sales process| Spot| Technical support| Night shift| International BPO
184,Deputy Manager- Performance/digital Marketingdigital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo
185," Technical Lead -(VoIP,Cisco Call Manager) java| cisco call manager| visa| j2ee| sip| offshore| communication skills"
187, Relationship Manager Sales| Business Development| Change Management| Mobile| mobiles| handset| mobile handset| Marketing| Relationship Management| Distribution Management| channel management| dealer management| Retailer
188," Technician, Technical Support International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction"
189, Graphic Designer Illustrator| Corel Draw| Photoshop
190, Consultant Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics
191, Immediate Requirement for Fusion Technical Lead Developer Technical Architecture| Fusion| Oracle Fusion
192, Layout Designer / Web Designer Layout design| Corel Draw| Web designing| Photoshop
193, International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc Bpo Voice| Voice Process| International BPO
194, Asp.net with Angular JS & Html5 - Hyderabad HTML5| ASP
195, Sales Manager Product and Portfolio Product training| Sales| Relationship| Banking| Recruitment
196, Key Accounts Manager Customer profitability| Receivable management| Education| Relationship building| Transportation| Service| Monitoring| Key accounts
197, Store Head-leading Manufacturing Company Stores| warehouse| Logistics
198, BPO Inbound Voice Tech Process - Customer Service Inbound Voice - Appl BPO| Outbound| English| Email| Inbound calls| Customer service| Troubleshooting| Technical support| Recruitment| Comp
199, Java Software Engineer Linux| Agile| Python| Computer science| Coding| Fixed income| Machine learning| Asset management| JIRA| Financial services
200, Admin Executive English| MS Office| admin executive| Billing| Stock inventory| Writing| Office management| Management| Business Executive| Application
201, Agm Finance for Automobile Company in Kolkata . Salary:7 Lpa Credit Officers| Risk Management| Administration| Report Generation| Analysts| analytical skills
202, Accounts Manager (male) Balance Sheet Finalisation| service tax| bank reconciliation| gst| income tax| taxation| financial auditing| finance| tax audit
203, Opening for French Specialist Accounts Payable accounts payable| accounting| AP
204, Applications Analyst OEE Change management| Healthcare| Analyst| Business Analyst| Social media| Problem management| Software development life cycle| Scheduling| OEE
205, Customer Service Engineer - - ICD Security Solutions Copyright| Customer Service Representative| CV| Customer service| Security| Troubleshooting| CCTV
206, Urgently Required Senior PHP Developer(laravel) || Gurgaon  CSS| jQuery| MySQL| Javascript| HTML| Web Development| Laravel| Codeigniter
207, Associate Process Consultant Networking| Telecom| LAN| WAN| Bss| VPN| Wireless| Telecommunication| Costing| Visio
208, Infrastructure management- Lecturer Teaching| Educator| Counselor| Mentor| Trainer| Advisor
209, Finance Admin Business communication| Analytical skills| Business objects| Team management| management| Transition management| Trend analysis| Variance analysis| Analytics
210, Guest Relations Executive Usage| PDF| C| Social media| Cash handling| Database| Customer service| Merchandising| Advertising
211, Salesforce System Architect salesforce| salesforce.com| system design| application architecture
213,System Monitoring Tools & Techniques ProfessionalExecution|Project Management|AO engagement|Monitoring Tools|Delivery Management|Stakeholder Management|System Monitoring
214, HR Recruiter Recruitment| Hiring| HR| Screening| Interviewing| Staffing
215, Business Development Manager (eCommerce) bca| cold calling| bidding| academic| customer service| documentation| selling| web development| seo| mba
216, Java Developer - Spring/ Hibernate Java| Webservices| Spring| Hibernate| System Design| ESB| SQL| Spring Boot| Javascript
217, Python Developer Debugging| Troubleshooting| Python| Interpersonal skills| OOPS| Programming| developer
218, Sales And Marketing/Business Development manager Direct sales| Cold calling| English| Networking| Business Development Manager| Customer interfacing| Data collection| Service| Digital marketing| WHO
219, Microsoft Developer build automation| Entity framework| MVC| microsoft| SQL
220, Customer Service Executive (Adeeba Group) for Tech Support/ Sales Technical support| Outbound| Troubleshooting| RecruitmentEnglish| Antivirus| Comp| Customer Service Executive| Domestic BPO
221, Inbound Technical Support With Attractive Salary Package Outbound| Medical| Technical support| Technical Support Associate| Email| Sales| US shift| Antivirus| Troubleshooting| Comp
222," Placement Officer, HR| Human Resource Management| Placement Coordination| recruitment executive| recruitment officer"
223, Walk-in Interviews For Sr.executive - Procurement on 5th July Strategic Sourcing| procurement| supply chain management| Packaging| Vendor Management
224,Urgent Opening Automation Test Engineer 2-5yrs-bellandur BangaloreTest Engineering
225, Senior TSA Inbound Tech Process Outbound| Technical Support Associate| Sales process| process| Senior| Technical| US shift| Technical support| International BPO
226, Freelance Corporate Trainer on Taleo Corporate Training| corporate trainer| technical trainer
227, Senior Java Developer- Urgently Required by Mumbai IT Company java| mongodb| Hibernate| spring| jms
228, Manager Procurement Procurement| Supply chain management| Automation| Copyright| Chain| Purchase| Head Operations| Steel| Business Executive
229, Senior Software Engineer - UI Development - Javascript/angularjs software development life cycle| css| html5| ui development| design patterns| svn| software engineering| angularjs| javascript
230, Telle Caller good communication skill| good speeking manners| ability to face strangers| punctual| gopod efficiency
231, Documentation Executive e - tendering| Tender Preparation| bid preparation| proposal preparation
232, Restaurant Cashier Cash Handling| Cashier Activities| Day Book| Cashier| Restaurant| CSAT
233," Opening For Dot Net Developer @ Baner, Pune C#| .Net| Asp.net"
234, Management Trainee Excel| Sales| Conflict resolution| Analytical| Management Trainee| Power point presentation| MS Office
235, Junior Company Secretary Manual testing| Eclipse| Coding| Scrum| Enterprise applications| Healthcare| JIRA| Android SDK| test driven development| Business Analyst
236, Production Manager Production Management| production control| production planning| Production Manager| Planning| Production Support| Organizing
237, Have Confidence to Convince Customer Then Join Adeeba (Inbound Voice) Outbound| Medical| Technical support| Technical Support Associate| Email| Technical| US shift| Antivirus| Troubleshooting| Comp
238, Business Transformation Consultant project management| management consulting| business transformation| strategy consulting| change management| sales strategy| top management
239, Content Editor Digital media| PHP| Recruitment| Bengali| LMS| Business administration| Content Editor| Journalism| Literature| Administration
240, Graphics Hardware Engineer Graphics| Simulation| Power management| Electronics| Hardware| Research| System analysis| Electricals
241, Visual Designer Motion Graphics| Infographics| Illustrator| animations| infographics| Corel draw| Photoshop| CorelDRAW| Visual Designer
242, Web Designer Illustrator| Web designing| Photoshop| CSS| Web technologies| XML| Intranet| Business Executive
243, ACCOUNTS EXECUTIVES Tally| Retail| Accounts Executive| Retail Executive
244, Finance & Accounting Associates Financial reporting| Due diligence| Data analysis| Accounting| International finance| Banking
245, DEALER - RETAIL BROKING NSE| Lead generation| Compliance| Relationship| Equity| Client acquisition| Research| Revenue generation| Monitoring| HNI client handling
246, SENIOR SOFTWARE DEVELOPER (MVC .NET) MySQL| Javascript| UML| server| css| Technical writing| html5| bootstrap| microsoft| Technical support| sql| cloud| ui| web| design| asp.net| mvc| api| architecture| level| Visual Studio| quality| MS SQL| infrastructure| .net| agile| angularjs| aws
247, Client Relationship Partner MIS reporting| Trade| Operational risk| Banking| Relationship| Client relationship| Saving
248," Sales Manger Opening In An E-commerce Industry- (mumbai, Pune) sales strategy| sales management| B2B Sales| corporate sales| institutional sales"
249, Dot Net Developer soa| sql| relationship management| server| software| jquery| service oriented architectures| quality systems| software implementation| computer science| sql server 2008| design
250, Lead Business Systems Analyst Analyst
251, Sr. Manager- Art in Mumbai || Opportunity @ Client side Art Director
252, Hiring for Domestic/ International Processes.contact the HR Asap fresher| icse| inbound process| outbound| international bpo| uk process| bcom| communication skills| back office| cbse| web chat| chat process| Aviation| Guest Relations| Public Speaking| PR
253, Sr . Manager Automobile| Warehouse| Problem management| Manager Operations
255, Urgent Requirement for CCE Telesales for Night Shift. Outbound| Telesales| Night shift| English| process| Technical| Inbound calls| Service| Printers| Business Executive
256, Vancancy for Inbound Tech Sales Executive Outbound| Service| Technical support| process| Inbound calls| Domestic BPO| Bonus| Business Executive| Comp
257, Infrastructure SSO Architect- Looking For Early Joiners single sign - on| single sign on| IT Infrastructure| SSO
258, Sr. Architect / Project Position: Sr. Architect / Project layout| coordinating| material selection| ms| mep| photoshop| corel draw| co| monitoring| plumbing
259,Nosql (couchdb/redis/bigtable/dynamodb)coding|database design|test cases|analytical|nosql|cassandra
260, Immidate Opening for Voice & Accent Trainer @ Vee Technologies accent| auditing| soft skills| training needs| customer service| process compliance
261, Walk- in | Hdfc Life | We are Hiring Freshers:5th till 20th Aug@ Delhi Sales| Fresher| Marketing
262, AIT Global India Private Limited is Looking For JAVA Developer. Java EE| Hibernate| Core Java| Software Development| Spring Mvc| Multithreading| OOD| JDBC| Spring Boot| JSF
263," Cloud Engineer Cloud Based IT MNC In Gurgaon , salary 7 - 8 LPA Virtualization| Cloud computing| Server architecture| Windows Troubleshooting| Customer satisfaction| Manager Technology| Deployment| Management"
264, Relationship Manager - Bangalore business development| sales| sales marketing| marketing executive| sales executive| sales officer| sales manager| area sales manager| territory sales manager| territory manager| area manager| regional manager| regional sales manager| regional business manager
265, Territory Sales Manager-Passive Networking-Mumbai/Bangalore/Hyderabad Sales| Sale| Networking Sales| It Solution Sales| Structured Cabling| Passive Networking| Data Center| Cable Tray| cabling| Data Center Rack| data - centre rack| LAN| UTP Cables
266, Business Development Manager marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive
267, Senior Manager-fundraising fundraising| finance
